Service Request Description,Department,Method Received,Created Date,Block,Street,Ward
Dirty Yard,Bylaw Enforcement,Phone,9/1/2016 16:13,10##,HICKORY,WARD 5
Tree Request,Forestry and Horticulture,Phone,9/1/2016 16:26,22##,CADILLAC,WARD 5
Garbage Not Collected,Environmental Services,Phone,9/1/2016 16:33,71##,RIVERSIDE,WARD 6
Garbage Not Collected,Environmental Services,Phone,9/1/2016 16:34,4##,FAIRVIEW,WARD 6
Dirty Yard,Bylaw Enforcement,Phone,9/1/2016 16:54,16##,RANDOLPH,WARD 10
Dirty Yard,Bylaw Enforcement,Phone,9/1/2016 16:55,15##,FRANCOIS,WARD 5
Dirty Yard,Bylaw Enforcement,Phone,9/1/2016 17:02,13##,PARENT,WARD 4
Tree Request,Forestry and Horticulture,Phone,9/1/2016 17:04,13##,PARENT,WARD 4
Tree Request,Forestry and Horticulture,E-Mail,9/1/2016 17:09,6##,TECUMSEH,WARD 4
Road Clean-Up Request,Environmental Services,Phone,9/1/2016 17:09,19##,WESTMINSTER,WARD 8
Dog Complaint - Bylaw,Bylaw Enforcement,Phone,9/1/2016 17:48,28##,MEADOWBROOK,WARD 8
Tree Request,Forestry and Horticulture,Phone,9/1/2016 17:59,32##,TURNER,WARD 9
Pothole,Maintenance,Phone,9/1/2016 18:26,7##,FELIX,WARD 2
Building Conditions,Inspections,Phone,9/1/2016 18:29,13##,OUELLETTE,WARD 3
Recycling Not Collected,Environmental Services,Phone,9/2/2016 7:25,10##,LEXINGTON,WARD 6
Dirty Yard,Bylaw Enforcement,Web Intake,9/2/2016 8:03, , ,WARD 2
Protection of Parks,Bylaw Enforcement,Phone,9/2/2016 8:23,1##,TECUMSEH,WARD 3
Pothole,Maintenance,Phone,9/2/2016 8:37,15##,LINCOLN,WARD 4
Building Conditions,Inspections,Phone,9/2/2016 8:54,11##,CATARAQUI,WARD 4
Tree Request,Forestry and Horticulture,Phone,9/2/2016 9:03,32##,RIBERDY,WARD 9
3-Day Parking Infraction,Parking Enforcement,Phone,9/2/2016 9:12,44##,CHERRY HILL,WARD 1
Dog Complaint - Bylaw,Bylaw Enforcement,Phone,9/2/2016 9:20,38##,MONTCALM,WARD 2
Rodent Extermination,Environmental Services,Phone,9/2/2016 9:21,10##,ST LUKE,WARD 5
Dog Complaint - Bylaw,Bylaw Enforcement,Phone,9/2/2016 9:21,31##,MEADOWBROOK,WARD 8
Recycling Not Collected,Environmental Services,Phone,9/2/2016 9:24,24##,DUNESHILL,WARD 7
Building/Land - Improper Use,Inspections,Phone,9/2/2016 9:26,24##,EVERTS,WARD 10
Garbage Preparation,Bylaw Enforcement,Phone,9/2/2016 9:31,5##,ST JOSEPH,WARD 2
Dead Animal Removal,Environmental Services,Phone,9/2/2016 9:36, ,HOLBURN ST & DUCHARME ST,WARD 9
Tree Request,Forestry and Horticulture,Phone,9/2/2016 9:41,11##,COVENTRY,WARD 6
Recycling Not Collected,Environmental Services,Phone,9/2/2016 9:58,24##,MCDOUGALL,WARD 10
Road Cave-In,Maintenance,Phone,9/2/2016 10:16,3##,FRANK,WARD 6
Garbage Not Collected,Environmental Services,E-Mail,9/2/2016 10:18,4##,MOUNTBATTEN,WARD 7
Road Maintenance,Maintenance,Phone,9/2/2016 10:40,12##,ASSUMPTION,WARD 4
Dirty Yard,Bylaw Enforcement,Phone,9/2/2016 10:42,11##,WIGLE,WARD 2
Rodent Extermination,Environmental Services,Phone,9/2/2016 10:43,36##,WILCOX,WARD 1
Downspout Disconnect,Contracts and Field Services,Phone,9/2/2016 10:46,22##,PARKWOOD,WARD 4
Tree Request,Forestry and Horticulture,Phone,9/2/2016 10:55,26##,CHANDLER,WARD 5
Dirty Yard,Bylaw Enforcement,Phone,9/2/2016 10:56,1##,RANDOLPH,WARD 2
Recycling Not Collected,Environmental Services,Phone,9/2/2016 11:00,10##,LEXINGTON,WARD 6
Dirty Yard,Bylaw Enforcement,Phone,9/2/2016 11:00,10##,PEACH BLOSSOM,WARD 1
Dog Complaint - Humane Society,Humane Society,Phone,9/2/2016 11:01,15##,CENTRAL,WARD 5
Recycling Not Collected,Environmental Services,Phone,9/2/2016 11:01,10##,LEXINGTON,WARD 6
Tree Request,Forestry and Horticulture,Phone,9/2/2016 11:02,30##,MCKAY,WARD 1
Dirty Yard,Bylaw Enforcement,Phone,9/2/2016 11:10,15##,BRUCE,WARD 3
Dirty Yard,Bylaw Enforcement,Web Intake,9/2/2016 11:18, , ,WARD 3
Fence & Hedge,Inspections,Phone,9/2/2016 11:23,7##,LINCOLN,WARD 4
Building/Land - Improper Use,Inspections,Phone,9/2/2016 11:25,7##,LINCOLN,WARD 4
Building/Land - Improper Use,Inspections,Phone,9/2/2016 11:28,35##,CARIBOU,WARD 9
Building/Land - Improper Use,Inspections,Phone,9/2/2016 11:29,34##,CARIBOU,WARD 9
Dead Animal Removal,Environmental Services,Phone,9/2/2016 11:55,4##,PELISSIER,WARD 3
Dead Animal Removal,Environmental Services,Phone,9/2/2016 12:00,16##,CALIFORNIA,WARD 10
Dog Complaint - Bylaw,Bylaw Enforcement,Phone,9/2/2016 12:06,14##,ELLROSE,WARD 5
Dirty Yard,Bylaw Enforcement,Phone,9/2/2016 12:06,3##,BRIDGE,WARD 2
Dirty Yard,Bylaw Enforcement,Phone,9/2/2016 12:07,21##,ROCKPORT,WARD 9
Dirty Yard,Bylaw Enforcement,Phone,9/2/2016 12:08,4##,BRIDGE,WARD 2
Abandoned Vehicle,Parking Enforcement,Phone,9/2/2016 12:09,7##,ELLIOTT,WARD 4
Tree Request,Forestry and Horticulture,Phone,9/2/2016 12:13,16##,PIERRE,WARD 4
Dirty Yard,Bylaw Enforcement,Phone,9/2/2016 12:14,46##,8TH CON,WARD 9
Garbage Not Collected,Environmental Services,Phone,9/2/2016 12:14,48##,SERVICE,WARD 8
Building/Land - Improper Use,Inspections,Phone,9/2/2016 12:16,35##,CARIBOU,WARD 9
Building/Land - Improper Use,Inspections,Phone,9/2/2016 12:18,35##,CARIBOU,WARD 9
Building/Land - Improper Use,Inspections,Phone,9/2/2016 12:19,34##,CARIBOU,WARD 9
Graffiti,Parks Operations,E-Mail,9/2/2016 12:20, ,DROUILLARD RD & EDNA ST,WARD 5
Building/Land - Improper Use,Inspections,Phone,9/2/2016 12:20,35##,CARIBOU,WARD 9
Building/Land - Improper Use,Inspections,Phone,9/2/2016 12:21,35##,CARIBOU,WARD 9
Garbage Preparation,Bylaw Enforcement,Phone,9/2/2016 12:23,9##,PELISSIER,WARD 3
Dirty Yard,Bylaw Enforcement,Phone,9/2/2016 12:26,9##,PELISSIER,WARD 3
Parking Meter,Traffic Operations,Phone,9/2/2016 12:38,1##,UNIVERSITY,WARD 3
Dirty Yard,Bylaw Enforcement,Phone,9/2/2016 12:42,949##,WALKER,WARD 9
Sidewalk Construction & Repair,Maintenance,Phone,9/2/2016 12:48,21##,MARK,WARD 10
Rodent Extermination,Environmental Services,Phone,9/2/2016 12:51,108##,BRENTWOOD,WARD 7
Building Conditions,Inspections,Phone,9/2/2016 13:01,9##,MCKAY,WARD 2
Road Maintenance,Maintenance,Phone,9/2/2016 13:06,983##,SERVICE,WARD 8
Property Flooding / Grading,Inspections,Phone,9/2/2016 13:08,14##,GEORGE,WARD 5
Dirty Yard,Bylaw Enforcement,Phone,9/2/2016 13:11,14##,CALIFORNIA,WARD 10
3-Day Parking Infraction,Parking Enforcement,Phone,9/2/2016 13:15,98##,HOLLY,WARD 7
Rodent Extermination,Environmental Services,Phone,9/2/2016 13:24,2##,ORCHARD,WARD 6
Dirty Yard,Bylaw Enforcement,Phone,9/2/2016 13:29,36##,RANKIN,WARD 1
Tree Request,Forestry and Horticulture,Text,9/2/2016 13:29,9##,LINCOLN,WARD 4
Dirty Yard,Bylaw Enforcement,Phone,9/2/2016 13:30,13##,PRINCE,WARD 2
Tree Request,Forestry and Horticulture,Phone,9/2/2016 13:33,16##,TOURANGEAU,WARD 5
Dead Animal Removal,Environmental Services,Phone,9/2/2016 13:42,23##,PARENT,WARD 4
Tree Request,Forestry and Horticulture,Phone,9/2/2016 13:50,45##,SASSAFRAS,WARD 9
Downspout Disconnect,Contracts and Field Services,Phone,9/2/2016 13:50,11##,WINDERMERE,WARD 4
Dead Animal Removal,Environmental Services,Phone,9/2/2016 13:56,2##,ELM,WARD 3
Tree Request,Forestry and Horticulture,Phone,9/2/2016 14:04,23##,CHANDLER,WARD 5
Dirty Yard,Bylaw Enforcement,Phone,9/2/2016 14:10,8##,ELLROSE,WARD 5
Dirty Yard,Bylaw Enforcement,Phone,9/2/2016 14:11,8##,ELLROSE,WARD 5
Building Conditions,Inspections,Phone,9/2/2016 14:13,28##,STILLMEADOW,WARD 7
Building Conditions,Inspections,Phone,9/2/2016 14:17,6##,BROCK,WARD 2
Dirty Yard,Bylaw Enforcement,Phone,9/2/2016 14:23,22##,CHANDLER,WARD 5
Parking Meter,Traffic Operations,Phone,9/2/2016 14:29,1##,UNIVERSITY,WARD 3
3-Day Parking Infraction,Parking Enforcement,Phone,9/2/2016 14:34,4##,GILES,WARD 3
Dead Animal Removal,Environmental Services,Phone,9/2/2016 14:43, ,OJIBWAY PKY, 
Dirty Yard,Bylaw Enforcement,Phone,9/2/2016 14:56,22##,JANETTE,WARD 3
Pothole,Maintenance,Phone,9/2/2016 15:00,17##,HICKORY,WARD 5
Tree Request,Forestry and Horticulture,Phone,9/2/2016 15:06,19##,FRANCOIS,WARD 5
Road Clean-Up Request,Environmental Services,Phone,9/2/2016 15:12,104##,SHENANDOAH,WARD 7
Rodent Extermination,Environmental Services,Phone,9/2/2016 15:15,29##,TECUMSEH,WARD 5
Road Clean-Up Request,Environmental Services,Phone,9/2/2016 15:16, ,WALKER RD & EC ROW ON RAMP W,WARD 10
Dirty Yard,Bylaw Enforcement,Phone,9/2/2016 15:21,16##,DROUILLARD,WARD 5
Dirty Yard,Bylaw Enforcement,Phone,9/2/2016 15:25,15##,LANGLOIS,WARD 4
Alley Maintenance,Maintenance,Phone,9/2/2016 15:32,2##,WYANDOTTE,WARD 3
Street Sweeping,Environmental Services,Phone,9/2/2016 15:39,30##,PILLETTE,WARD 8
Rodent Extermination,Environmental Services,Phone,9/2/2016 15:41,12##,ISABELLE,WARD 6
Dirty Yard,Bylaw Enforcement,Web Intake,9/2/2016 15:45, , ,WARD 5
Dirty Yard,Bylaw Enforcement,Web Intake,9/2/2016 15:59, , ,WARD 5
Parking Meter,Traffic Operations,Phone,9/2/2016 16:22,5##,CHATHAM,WARD 3
Parking Meter,Traffic Operations,Phone,9/2/2016 16:38, ,PITT,WARD 3
Tree Request,Forestry and Horticulture,Phone,9/2/2016 17:04,32##,TURNER,WARD 9
Sewer Maintenance,Maintenance,Phone,9/2/2016 17:07,12##,WINDERMERE,WARD 4
3-Day Parking Infraction,Parking Enforcement,Phone,9/2/2016 17:16,16##,PRINCE,WARD 2
Dirty Yard,Bylaw Enforcement,Phone,9/2/2016 17:19,11##,WELLINGTON,WARD 3
Abandoned Vehicle,Parking Enforcement,Phone,9/2/2016 17:31,7##,NIAGARA,WARD 4
Pothole,Maintenance,Phone,9/2/2016 17:32, ,YPRES AVE & CHRYSLER CENTRE,WARD 5
Dirty Yard,Bylaw Enforcement,Phone,9/2/2016 18:50,50##,GRAND,WARD 8
Dirty Yard,Bylaw Enforcement,Phone,9/2/2016 18:54,86##,DARLINGTON,WARD 6
Dirty Yard,Bylaw Enforcement,Web Intake,9/3/2016 8:43, , ,WARD 3
Dirty Yard,Bylaw Enforcement,Web Intake,9/3/2016 12:40, , ,WARD 2
Dirty Yard,Bylaw Enforcement,Web Intake,9/3/2016 12:44, , ,WARD 2
Dirty Yard,Bylaw Enforcement,Web Intake,9/3/2016 13:52, , ,WARD 3
Public Property Obstructions,Infrastructure Coordination and Development,Web Intake,9/6/2016 6:27, , ,WARD 10
Building Conditions,Inspections,Phone,9/6/2016 7:04,9##,CAMPBELL,WARD 2
Dirty Yard,Bylaw Enforcement,Phone,9/6/2016 7:13,13##,WYANDOTTE,WARD 4
Tree Request,Forestry and Horticulture,Phone,9/6/2016 7:14,11##,JOSEPHINE,WARD 2
Tree Request,Forestry and Horticulture,Phone,9/6/2016 7:17,15##,LANGLOIS,WARD 4
Property Flooding / Grading,Inspections,Phone,9/6/2016 7:22,31##,MANCHESTER,WARD 2
Dead Animal Removal,Environmental Services,Phone,9/6/2016 7:34,52##,MATCHETTE,WARD 1
Tree Request,Forestry and Horticulture,Phone,9/6/2016 8:15,16##,MARENTETTE,WARD 4
Recycling Not Collected,Environmental Services,Phone,9/6/2016 8:20,13##,DARLINGTON,WARD 6
Dirty Yard,Bylaw Enforcement,Phone,9/6/2016 8:21,8##,JANETTE,WARD 3
Dead Animal Removal,Environmental Services,Phone,9/6/2016 8:23, ,MATCHETTE RD, 
Tree Request,Forestry and Horticulture,Phone,9/6/2016 8:26,5##,BRIDGE,WARD 2
Tree Request,Forestry and Horticulture,Phone,9/6/2016 8:33,16##,GLENDALE,WARD 8
Rodent Extermination,Environmental Services,Phone,9/6/2016 8:48,8##,PATRICE,WARD 6
Dirty Yard,Bylaw Enforcement,Phone,9/6/2016 8:48,14##,WINDSOR,WARD 3
Dirty Yard,Bylaw Enforcement,Phone,9/6/2016 8:55,2##,ELLIS,WARD 3
Sidewalk Construction & Repair,Maintenance,Phone,9/6/2016 8:57,26##,ALEXIS,WARD 5
Tree Request,Forestry and Horticulture,Phone,9/6/2016 8:57,988##,FACTORIA,WARD 5
Municipal Parking Garage,Traffic Operations,Text,9/6/2016 9:02, , , 
Dirty Yard,Bylaw Enforcement,Phone,9/6/2016 9:03,12##,UNIVERSITY,WARD 3
Dead Animal Removal,Environmental Services,Phone,9/6/2016 9:03,12##,GLADSTONE,WARD 4
Dirty Yard,Bylaw Enforcement,Phone,9/6/2016 9:09,10##,CALIFORNIA,WARD 2
Dead Animal Removal,Environmental Services,Phone,9/6/2016 9:12, ,NORTHWOOD ST, 
Tree Request,Forestry and Horticulture,Phone,9/6/2016 9:14,24##,ST PATRICK'S,WARD 10
Dead Animal Removal,Environmental Services,Phone,9/6/2016 9:20, ,NORTHWOOD ST & CALIFORNIA AVE,WARD 10
Dirty Yard,Bylaw Enforcement,Phone,9/6/2016 9:24,19##,NORTHWAY,WARD 10
Building Conditions,Inspections,Phone,9/6/2016 9:28,9##,BROCK,WARD 2
Building/Land - Improper Use,Inspections,Phone,9/6/2016 9:32,10##,RIVERDALE,WARD 6
Dirty Yard,Bylaw Enforcement,Phone,9/6/2016 9:39,9##,HACIENDA,WARD 1
Rodent Extermination,Environmental Services,Phone,9/6/2016 9:43,72##,ST ROSE,WARD 6
Building/Land - Improper Use,Inspections,Phone,9/6/2016 9:44,9##,VIRGINIA,WARD 6
Dirty Yard,Bylaw Enforcement,Phone,9/6/2016 9:47,9##,VIRGINIA,WARD 6
Recycling Not Collected,Environmental Services,Phone,9/6/2016 9:51,13##,DARLINGTON,WARD 6
Dirty Yard,Bylaw Enforcement,Phone,9/6/2016 9:54,2##,LINCOLN,WARD 4
Road Maintenance,Maintenance,Phone,9/6/2016 9:55, ,TROUP CRES & WILDWOOD DR,WARD 7
Garbage Preparation,Bylaw Enforcement,Phone,9/6/2016 9:56,24##,ARTHUR,WARD 5
Sidewalk Construction & Repair,Maintenance,Phone,9/6/2016 9:58,24##,DUNESHILL,WARD 7
Rodent Extermination,Environmental Services,Phone,9/6/2016 9:59,3##,JOSEPHINE,WARD 2
Tree Request,Forestry and Horticulture,Phone,9/6/2016 10:01,16##,PELISSIER,WARD 3
Tree Request,Forestry and Horticulture,Phone,9/6/2016 10:04,16##,PELISSIER,WARD 3
Garbage Not Collected,Environmental Services,Phone,9/6/2016 10:05,36##,LONGFELLOW,WARD 1
Dirty Yard,Bylaw Enforcement,Phone,9/6/2016 10:12,16##,PRINCE,WARD 2
Public Property Obstructions,Infrastructure Coordination and Development,Phone,9/6/2016 10:13,19##,MARK,WARD 10
Recycling Not Collected,Environmental Services,Phone,9/6/2016 10:14,13##,DARLINGTON,WARD 6
Dirty Yard,Bylaw Enforcement,Phone,9/6/2016 10:25,27##,CLEMENCEAU,WARD 8
Dirty Yard,Bylaw Enforcement,Phone,9/6/2016 10:26,26##,ELSMERE,WARD 10
Building Conditions,Inspections,Phone,9/6/2016 10:26,5##,LOUIS,WARD 4
Dirty Yard,Bylaw Enforcement,Web Intake,9/6/2016 10:38, , ,WARD 7
Dirty Yard,Bylaw Enforcement,Phone,9/6/2016 10:59,15##,LANGLOIS,WARD 4
Dirty Yard,Bylaw Enforcement,Phone,9/6/2016 11:25,10##,DUCHARME,WARD 9
Dog Complaint - Bylaw,Bylaw Enforcement,Phone,9/6/2016 11:27,11##,WELLINGTON,WARD 3
Downspout Disconnect,Contracts and Field Services,Phone,9/6/2016 11:31,8##,DAWSON,WARD 6
Dirty Yard,Bylaw Enforcement,Phone,9/6/2016 11:34,14##,WYANDOTTE,WARD 2
Dirty Yard,Bylaw Enforcement,Phone,9/6/2016 11:36,22##,FRASER,WARD 4
Building/Land - Improper Use,Inspections,Phone,9/6/2016 11:38,13##,WINDSOR,WARD 3
Dirty Yard,Bylaw Enforcement,Phone,9/6/2016 11:42,23##,PILLETTE,WARD 5
Dirty Yard,Bylaw Enforcement,Phone,9/6/2016 11:43,13##,WINDSOR,WARD 3
Tree Request,Forestry and Horticulture,Phone,9/6/2016 11:47,10##,WHISTLER,WARD 7
Keeping of Animals,Bylaw Enforcement,Phone,9/6/2016 11:53,29##,BYNG,WARD 10
Dead Animal Removal,Environmental Services,Phone,9/6/2016 11:54,17##,WESTCOTT,WARD 5
Road Cave-In,Maintenance,Phone,9/6/2016 11:57,23##,HURON CHURCH,WARD 10
Sewer Project Restoration,Contracts and Field Services,Phone,9/6/2016 11:59,10##,VILLAIRE,WARD 6
Tree Request,Forestry and Horticulture,Phone,9/6/2016 12:22,4##,PARENT,WARD 4
Road Clean-Up Request,Environmental Services,Phone,9/6/2016 12:24,17##,ST LUKE,WARD 5
Sewer Maintenance,Maintenance,Phone,9/6/2016 12:28,12##,BELLE ISLE VIEW,WARD 6
Dirty Yard,Bylaw Enforcement,Phone,9/6/2016 12:32,2##,BROCK,WARD 2
Tree Request,Forestry and Horticulture,Phone,9/6/2016 12:32,13##,VICTORIA,WARD 3
Dirty Yard,Bylaw Enforcement,E-Mail,9/6/2016 12:34,3##,LANGLOIS,WARD 4
Public Property Obstructions,Infrastructure Coordination and Development,Phone,9/6/2016 12:34,19##,AUBIN,WARD 5
Dead Animal Removal,Environmental Services,E-Mail,9/6/2016 12:39,48##,MATCHETTE,WARD 1
Building Conditions,Inspections,Phone,9/6/2016 12:40,26##,SCARSDALE,WARD 7
Tree Request,Forestry and Horticulture,Phone,9/6/2016 12:47,12##,LINCOLN,WARD 4
Dirty Yard,Bylaw Enforcement,Phone,9/6/2016 12:49,7##,RANKIN,WARD 2
Garbage Not Collected,Environmental Services,Phone,9/6/2016 12:49,39##,ONTARIO,WARD 5
Dirty Yard,Bylaw Enforcement,Phone,9/6/2016 12:50,14##,AUBIN,WARD 5
Dirty Yard,Bylaw Enforcement,Phone,9/6/2016 12:50,7##,RANKIN,WARD 2
Dirty Yard,Bylaw Enforcement,Phone,9/6/2016 12:51,7##,RANKIN,WARD 2
Noise,Bylaw Enforcement,E-Mail,9/6/2016 12:52,7##,CHATHAM,WARD 4
Downspout Disconnect,Contracts and Field Services,Phone,9/6/2016 12:57,32##,MCKAY,WARD 1
Dead Animal Removal,Environmental Services,Phone,9/6/2016 12:57,21##,DOMINION,WARD 10
Dirty Yard,Bylaw Enforcement,Web Intake,9/6/2016 12:58, , ,WARD 4
Rodent Extermination,Environmental Services,Phone,9/6/2016 13:01,11##,PARENT,WARD 4
Garbage Preparation,Bylaw Enforcement,Phone,9/6/2016 13:07,106##,LAMBETH,WARD 7
Downspout Disconnect,Contracts and Field Services,Phone,9/6/2016 13:13,96##,MIDFIELD,WARD 7
Dirty Yard,Bylaw Enforcement,Phone,9/6/2016 13:19,25##,SEMINOLE,WARD 5
Tree Request,Forestry and Horticulture,Phone,9/6/2016 13:27,27##,BERTRAM,WARD 8
Tree Request,Forestry and Horticulture,Phone,9/6/2016 13:34,9##,GREENPARK,WARD 7
Dirty Yard,Bylaw Enforcement,Phone,9/6/2016 13:36,113##,RIVERSIDE,WARD 7
Garbage Not Collected,Environmental Services,Phone,9/6/2016 13:36,22##,MCKAY,WARD 10
Road Maintenance,Maintenance,Phone,9/6/2016 13:38, ,NORTH TALBOT RD & SOUTHWOOD LAKES BLVD,WARD 1
Tree Request,Forestry and Horticulture,Phone,9/6/2016 13:40,28##,GARVEY,WARD 10
3-Day Parking Infraction,Parking Enforcement,E-Mail,9/6/2016 13:51,98##,HOLLY,WARD 7
Tree Request,Forestry and Horticulture,Phone,9/6/2016 13:57,17##,LINCOLN,WARD 4
Noise,Bylaw Enforcement,E-Mail,9/6/2016 14:03,15##,LANGLOIS,WARD 4
Tree Request,Forestry and Horticulture,Phone,9/6/2016 14:08,24##,GEORGE,WARD 5
Dirty Yard,Bylaw Enforcement,Phone,9/6/2016 14:08,93##,BAYSWATER,WARD 6
Road Maintenance,Maintenance,Phone,9/6/2016 14:21, ,GEORGE AVE & SEMINOLE ST,WARD 5
Rodent Extermination,Environmental Services,Phone,9/6/2016 14:30,10##,CURRY,WARD 2
Dirty Yard,Bylaw Enforcement,Phone,9/6/2016 14:40,39##,MOUNT ROYAL,WARD 1
Road Cave-In,Maintenance,Phone,9/6/2016 14:41,35##,MATCHETTE,WARD 2
Building/Land - Improper Use,Inspections,Phone,9/6/2016 14:42,39##,MOUNT ROYAL,WARD 1
Tree Request,Forestry and Horticulture,Phone,9/6/2016 14:43,16##,OLIVE,WARD 8
Road Maintenance,Maintenance,Phone,9/6/2016 14:44,15##,RANDOLPH,WARD 10
Sewer Project Restoration,Contracts and Field Services,Phone,9/6/2016 14:51,22##,FOREST,WARD 4
Drainage,Maintenance,E-Mail,9/6/2016 15:00,7##,COUSINEAU,WARD 1
Tree Request,Forestry and Horticulture,E-Mail,9/6/2016 15:03,7##,COUSINEAU,WARD 1
Dirty Yard,Bylaw Enforcement,Phone,9/6/2016 15:10,3##,JOSEPHINE,WARD 2
Building Conditions,Inspections,Phone,9/6/2016 15:13,11##,MOY,WARD 4
Dirty Yard,Bylaw Enforcement,Phone,9/6/2016 15:17,15##,CHURCH,WARD 3
Tree Request,Forestry and Horticulture,Phone,9/6/2016 15:27,8##,UNIVERSITY,WARD 3
Building Conditions,Inspections,Phone,9/6/2016 15:29,68##,CHARLIE BROOKS,WARD 8
Rodent Extermination,Environmental Services,Phone,9/6/2016 15:34,36##,WILCOX,WARD 1
Dead Animal Removal,Environmental Services,Phone,9/6/2016 15:36,35##,DOMINION,WARD 1
Downspout Disconnect,Contracts and Field Services,Phone,9/6/2016 15:39,2##,MILL,WARD 2
Parking Meter,Traffic Operations,Phone,9/6/2016 15:42, ,ERIE ST E & HOWARD AVE,WARD 4
Dirty Yard,Bylaw Enforcement,Phone,9/6/2016 15:43,22##,FOREST,WARD 4
Dirty Yard,Bylaw Enforcement,Phone,9/6/2016 15:45,35##,BLOOMFIELD,WARD 2
Building Conditions,Inspections,Phone,9/6/2016 15:46,35##,BLOOMFIELD,WARD 2
Dirty Yard,Bylaw Enforcement,E-Mail,9/6/2016 15:47,12##,ENFIELD,WARD 6
Public Property Obstructions,Infrastructure Coordination and Development,E-Mail,9/6/2016 15:53,12##,ENFIELD,WARD 6
Tree Request,Forestry and Horticulture,E-Mail,9/6/2016 16:01,53##,QUEEN ELIZABETH,WARD 8
Noise,Bylaw Enforcement,Phone,9/6/2016 16:05,30##,SANDWICH,WARD 2
Pothole,Maintenance,Phone,9/6/2016 16:11,4##,BELLE ISLE VIEW,WARD 6
Downspout Disconnect,Contracts and Field Services,E-Mail,9/6/2016 16:14,22##,MELDRUM,WARD 5
Tree Request,Forestry and Horticulture,Phone,9/6/2016 16:17,2##,BELLEVIEW,WARD 5
Garbage Not Collected,Environmental Services,Phone,9/6/2016 16:23,16##,ST GABRIEL,WARD 1
Tree Request,Forestry and Horticulture,Phone,9/6/2016 16:27,94##,RYERSON,WARD 7
Abandoned Vehicle,Parking Enforcement,Phone,9/6/2016 16:28,13##,BRUCE,WARD 3
Rodent Extermination,Environmental Services,Phone,9/6/2016 16:38,14##,CENTRAL,WARD 5
Parking Meter,Traffic Operations,Phone,9/6/2016 16:40,3##,VICTORIA,WARD 3
Dirty Yard,Bylaw Enforcement,Phone,9/6/2016 16:44,9##,PELISSIER,WARD 3
Sewer Maintenance,Maintenance,Phone,9/6/2016 16:47,114##,RIVERSIDE,WARD 7
Dirty Yard,Bylaw Enforcement,Phone,9/6/2016 16:50,2##,MCKAY,WARD 2
Pothole,Maintenance,Phone,9/6/2016 17:03,19##,GLENDALE,WARD 8
Garbage Not Collected,Environmental Services,Phone,9/6/2016 17:16,4##,JOHN HARVEY,WARD 9
Garbage Not Collected,Environmental Services,Phone,9/6/2016 17:16,12##,ASKIN,WARD 2
Dirty Yard,Bylaw Enforcement,Phone,9/6/2016 17:26,9##,THOMPSON,WARD 6
Illegal Dumping Public Property,Environmental Services,Phone,9/6/2016 17:28,5##,CATARAQUI,WARD 3
Building Conditions,Inspections,E-Mail,9/6/2016 17:32,8##,WYANDOTTE,WARD 4
Building Conditions,Inspections,Web Intake,9/6/2016 17:35, , ,WARD 4
Noise,Bylaw Enforcement,Phone,9/6/2016 17:57,11##,AUBIN,WARD 5
Garbage Not Collected,Environmental Services,Phone,9/6/2016 18:10,9##,CURRY,WARD 2
Garbage Not Collected,Environmental Services,Phone,9/6/2016 18:14,6##,MCKAY,WARD 2
Dirty Yard,Bylaw Enforcement,E-Mail,9/6/2016 18:20,15##,CENTRAL,WARD 5
Tree Request,Forestry and Horticulture,Phone,9/6/2016 18:22,29##,DOMINION,WARD 10
Tree Request,Forestry and Horticulture,Phone,9/6/2016 18:34,11##,LANGLOIS,WARD 4
Dirty Yard,Bylaw Enforcement,Phone,9/6/2016 18:41,6##,CATARAQUI,WARD 4
Sidewalk Construction & Repair,Maintenance,Phone,9/6/2016 18:41,992##,CLOVER,WARD 7
Dirty Yard,Bylaw Enforcement,Web Intake,9/6/2016 19:01, , ,WARD 4
Dirty Yard,Bylaw Enforcement,Web Intake,9/6/2016 21:19, , ,WARD 2
Yard Waste Not Collected,Environmental Services,Phone,9/7/2016 7:39,13##,GRANVILLE,WARD 2
Garbage Not Collected,Environmental Services,Phone,9/7/2016 7:43,9##,HOWARD,WARD 4
Garbage Not Collected,Environmental Services,Phone,9/7/2016 7:46,26##,ELSMERE,WARD 10
Tree Request,Forestry and Horticulture,Phone,9/7/2016 7:49,19##,GLENDALE,WARD 8
Swimming Pool,Inspections,Phone,9/7/2016 7:53,19##,GLENDALE,WARD 8
Dead Animal Removal,Environmental Services,Phone,9/7/2016 7:59,10##,SPRUCEWOOD,WARD 1
Garbage Not Collected,Environmental Services,Phone,9/7/2016 8:05,10##,TALBOT,WARD 1
Dirty Yard,Bylaw Enforcement,Phone,9/7/2016 8:11,17##,OTTAWA,WARD 4
Tree Request,Forestry and Horticulture,Phone,9/7/2016 8:21,37##,HOLBURN,WARD 9
Dead Animal Removal,Environmental Services,Phone,9/7/2016 8:22, ,OJIBWAY PKY & SPRUCEWOOD AVE,WARD 1
Dirty Yard,Bylaw Enforcement,Phone,9/7/2016 8:41,9##,GILES,WARD 4
Dog Complaint - Humane Society,Humane Society,Phone,9/7/2016 8:46,7##,CHILVER,WARD 4
Tree Request,Forestry and Horticulture,Phone,9/7/2016 8:50,11##,DEVONSHIRE,WARD 4
Sidewalk Construction & Repair,Maintenance,Phone,9/7/2016 8:51,10##,ELSMERE,WARD 4
